,0
28,"2.1.1 specific Services related requirements applicable to the jurisdiction or geographical 
area stated in section 1.2 of appendix 1; and/or 
"
29,"2.1.2 so as to address any mandatory legal requirements applicable to such geographical 
areas.   
"
30,"2.2 These local Services requirements and associated variations to or additions to the MSA are set 
out in appendix 1 to this Local Agreement. 
"
31,"2.3 If applicable mandatory Laws require the inclusion of a particular provision in this Local 
Agreement or have some other impact on this Local Agreement (where that provision or impact 
"
32,"is not already specifically reflected in this Local Agreement), the parties agree that this Local 
"
33,"Agreement will not be invalid or frustrated by reason of the non-inclusion of a relevant 
"
34,"provision dealing with the issue but instead: 
"
35,"2.3.1 if the provision can be incorporated without creating a significant impact to the 
terms of this Local Agreement, it shall be deemed to be incorporated and the terms 
"
36,"of this Local Agreement shall be amended accordingly; or  
"
37,"2.3.2 if the incorporation of the relevant term would, in the reasonable opinion of either 
party cause a significant impact on the terms of this Local Agreement, that party 
"
38,"will notify the other and the parties will negotiate in good faith any necessary or 
"
39,"desirable amendments to this Local Agreement.   
"
40,"If the parties cannot agree the relevant amendments within thirty (30) days of the date of 
"
41,"notification by a party pursuant to paragraph 2.3.2 above, the Customer may terminate this 
"
42,"Local Agreement on immediately effective notice and without liability to the Supplier. If such 
"
43,"termination of this Local Agreement would have a material impact on the provision of the 
"
44,"overall Services being provided under the Agreement, the Customer shall then be further 
"
45,"entitled to terminate the MSA and each Local Agreement. 
"
46,"2.4 If the Supplier and the Customer are to amend the terms of the MSA then, if the relevant Change 
Form or Variation so indicates, the amendments shall apply to the terms of the MSA 
"
47,"incorporated into this Local Agreement and, accordingly, this Local Agreement will be deemed 
"
48,"to have been amended pursuant to that Variation or Change Form. 
"
49,"3. GENERAL 
"
50,"3.1 This Local Agreement incorporates the terms of the MSA and any references to ""the Supplier"" 
in the MSA shall, for the purposes of this Local Agreement, be interpreted as references to the 
"
51,"Supplier Group entity that enters into this Local Agreement.  Similarly, any references in the 
"
52,"MSA to ""the Customer"" shall, for the purposes of this Local Agreement, be interpreted as 
"
53,"references to the Customer Group entity that enters into this Local Agreement. 
"
54,"3.2 Unless expressly stated to the contrary in this Local Agreement, the provisions of the MSA 
(including the terms and conditions, the Charges, the Services, the Service Levels, the Service 
"
55,"Credits and so forth) apply to the relationship between the parties to this Local Agreement.  
"
56,"Accordingly, for example, a reference to the Services in this Local Agreement shall mean a 
"
57,"reference to the Services described in the MSA, as supplemented or amended by the terms of 
"
58,this Local Agreement. 
59,"3.3 The parties agree that all claims and liabilities arising in connection with the Services shall be 
dealt with subject to the terms of the MSA, as incorporated into this Local Agreement.   
"
60,"3.4 If and to the extent that there are any contractual provisions in addition to those set out in the 
MSA or which constitute a variation thereto, they shall be as set out in appendix 2 to this Local 
"
61,"Agreement (it being expressly recognised that the parties intend the provisions of the MSA to 
"
62,"apply without amendment save as may be strictly necessary to comply with the requirements 
"
63,"of local Laws). 
"
64,"3.5 The Customer shall not by reason of this Local Agreement become liable for any taxes, levies 
or duties beyond those which it agreed to pay pursuant to the terms of the MSA.  The Supplier 
"
65,"shall be responsible for any such additional taxes, levies or duties as may arise by virtue of the 
"
66,"execution of this Local Agreement and/or the provision of the Services hereunder. 
"
67,"3.6 This Local Agreement shall come into force on the date it is signed and, subject to earlier 
termination of the MSA, shall continue for the Term of the MSA. 
"
68,"3.7 This Local Agreement and the MSA shall together represent the entire understanding between 
the parties to this Local Agreement in relation to the subject matter hereof and supersede, cancel 
"
69,"and nullify any previous agreement between the parties relating to such matters.  Each reference 
"
70,"in the MSA to ""this/the Agreement"" shall be read as the context requires as if referring to this 
"
71,"Local Agreement, with each reference in the MSA to ""the Customer"" and/or ""the Supplier"" 
"
72,"likewise being read as being references to the Customer and Supplier entities who are the 
"
73,"signatories to this Local Agreement. 
"
74,"3.8 The parties represent to each other that each has full power and authority to enter into this Local 
Agreement. 
"
75,"3.9 Any reference to terms with capitalised letters in this Local Agreement will have the meaning 
attributed to them in the MSA as varied or supplemented by any meaning given to them in this 
"
76,"Local Agreement. 
"
77,"3.10 The Supplier shall invoice Services under this Local Agreement in the local functional currency 
of the Country. 
"
78,"4. BENCHMARKING 
"
79,"Customer shall be entitled, by giving 2 days written notice to the Supplier, to Benchmark once 
"
80,"every Contract Year, provided that the first such Benchmark may take place no earlier than 4 
"
81,"(four) months following the Service Commencement Date and subsequent Benchmarks cannot 
"
82,"take place within 1 year of a previous Benchmark. 
"
83,"5. LIMITATION OF LIABILITY 
"
84,"The total aggregate liability of each Party (and its Affiliates and subcontractors) to the other 
"
85,"Party (and its Affiliates, subcontractors and/or to any third party or otherwise under a Work 
"
86,"Order), whether based upon an action or claim in contract, tort (including negligence), 
"
87,"warranty, misrepresentation, strict liability, equity or otherwise (including any action or claim 
"
88,"arising from the acts or omissions of the liable Party (or, as the case may be, its Affiliate)), 
"
89,"including under any indemnity, shall not exceed 3 times the amounts due and owing to 
"
90,"Accenture for Services properly rendered under the Agreement for the twelve (12) months 
"
91,"prior to the month in which the first event giving rise to liability occurred (and if the first event 
"
92,"giving rise to liability occurs during the first twelve (12) months after the Effective Date of 
"
93,"such Work Order, such total aggregate liability shall be twelve (12) times the monthly average 
"
94,of the Charges paid by Customer to Accenture from the Effective Date through such date. 
95,"
"
96,"IN WITNESS of which this Local Agreement has been duly executed by the parties. 
"
97,"
"
98,"SIGNED for and on behalf of  
"
99,"
"
100,"[Customer Local Entity]  
"
101,"
"
102,"Signature:  
"
103,"
"
104,"Full Name:  
"
105,"
"
106,"Position:  
"
107,"
"
108,"Date:  
"
109,"
"
110,"
"
111,"
"
112,"SIGNED for and on behalf of  
"
113,"
"
114,"PROQUIRE LLC  
"
115,"
"
116,"Signature:  
"
117,"
"
118,"Full Name:  
"
119,"
"
120,"Position:  
"
121,"
"
122,"Date:  
"
123,"
"
124,"
"
125,"
"
126,"
"
127,Commented [FS3]: Need Accenture India company name 
